ticker,avg_volume_30d,amihud_illiquidity,liquidity_rank
CSCO,4605193.0,2e-12,1.0
SPY,16797708.0,2e-12,1.0
QQQ,16974682.0,2e-12,1.0
LQD,18829777.0,3e-12,4.0
NVDA,5126347.0,4e-12,5.0
IWM,18449690.0,5e-12,6.0
GLD,17797833.0,5e-12,6.0
AVGO,5751381.0,6e-12,8.0
DBC,15732175.0,6e-12,8.0
HYG,16562940.0,7e-12,10.0
GOOGL,6000847.0,8e-12,11.0
AGG,16426879.0,9e-12,12.0
CRM,5941526.0,9e-12,12.0
AAPL,4906386.0,1e-11,14.0
PFE,6663645.0,1e-11,14.0
MSFT,5809848.0,1.1e-11,16.0
LIN,4826390.0,1.1e-11,16.0
ACN,5748216.0,1.3e-11,18.0
EFA,16561873.0,1.3e-11,18.0
META,4800319.0,1.4e-11,20.0
AMZN,6162223.0,1.5e-11,21.0
TMO,6369757.0,1.5e-11,21.0
VNQ,17783643.0,1.6e-11,23.0
JNJ,6200283.0,1.6e-11,23.0
UNH,6352985.0,1.6e-11,23.0
EEM,15298485.0,1.7e-11,26.0
WMT,5722223.0,1.7e-11,26.0
PG,5618553.0,1.8e-11,28.0
TLT,17450486.0,1.8e-11,28.0
CAT,6189986.0,1.8e-11,28.0
ABBV,5305302.0,1.9e-11,31.0
V,5439080.0,1.9e-11,31.0
KO,5627174.0,2e-11,33.0
HD,5699489.0,2.1e-11,34.0
PEP,4683863.0,2.1e-11,34.0
LLY,6011776.0,2.2e-11,36.0
COST,5705096.0,2.4e-11,37.0
MRK,6882040.0,2.5e-11,38.0
JPM,5845312.0,2.6e-11,39.0
NEE,5930997.0,2.7e-11,40.0
MA,4775959.0,2.8e-11,41.0
GE,6125073.0,3e-11,42.0
AMT,5529654.0,3.2e-11,43.0
UPS,4651838.0,4.6e-11,44.0
CVX,6194292.0,5.4e-11,45.0
DE,5963746.0,8.2e-11,46.0
XOM,6105698.0,1.28e-10,47.0
